Company Name,Profile URL,Industry,Location,Sales Revenue ($M)
WOOLWORTHS GROUP LIMITED,https://www.dnb.com/business-directory/company-profiles.woolworths_group_limited.a03dcfd23ee5f3f495d0cde8b82b0296.html,,,
BUNNINGS PROPERTIES PTY. LTD,https://www.dnb.com/business-directory/company-profiles.bunnings_properties_pty_ltd.25a6b45e413ecfd61e1aab3e5c37de75.html,,,
GLENCORE COAL SALES PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_coal_sales_pty_limited.6c3989746b7d5f1625ecdbaaa045f215.html,,,
MOUNT ISA MINES LIMITED,https://www.dnb.com/business-directory/company-profiles.mount_isa_mines_limited.f46c1a091b5c0a8764401de511ab3bc1.html,,,
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",https://www.dnb.com/business-directory/company-profiles.sumitomo_electric_industries_ltd.a23264987087c78c9705cbbd8d6dae3e.html,,,
GLENCORE HOLDINGS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_holdings_pty_limited.30cbe116d4c01f2f2c0c60f71f82af47.html,,,
AMPOL LIMITED,https://www.dnb.com/business-directory/company-profiles.ampol_limited.710ca5b30927bd5a2d5ecd72f2c50878.html,,,
COASTAL CONTACTS (AUS) PTY LTD,https://www.dnb.com/business-directory/company-profiles.coastal_contacts_(aus)_pty_ltd.4d006a713aa19f4f97a6e49fb226db9b.html,,,
AUSTRALIAN GROCERY WHOLESALERS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.australian_grocery_wholesalers_pty_limited.88f00f3334ad9b9ca06301134215eeca.html,,,
UCC COFFEE AUSTRALIA LIMITED,https://www.dnb.com/business-directory/company-profiles.ucc_coffee_australia_limited.725c20e0ab81c3b0f332dcc797d1ebd0.html,,,
GLENCORE COAL PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_coal_pty_limited.2a21ba1a07350fb94299aeca068c8c21.html,,,
J. BLACKWOOD & SON PTY LTD,https://www.dnb.com/business-directory/company-profiles.j_blackwood__son_pty_ltd.6739dd0894c670a0655996b2cd3587cb.html,,,
LIFTCO PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.liftco_pty_limited.bacca55abc5a741dff6e436d53b6c2b7.html,,,
WESFARMERS INDUSTRIAL AND SAFETY PTY LTD,https://www.dnb.com/business-directory/company-profiles.wesfarmers_industrial_and_safety_pty_ltd.29bcaf5a5b183ed44cedd1754ed9fe4f.html,,,
NSW BASE METALS PTY LTD,https://www.dnb.com/business-directory/company-profiles.nsw_base_metals_pty_ltd.08e0c36f193e517b6beec67d352a0233.html,,,
GLENCORE AUSTRALIA OIL PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_australia_oil_pty_limited.fd70047a067ec9fa814ad8e885a0468e.html,,,
GLENCORE COAL LOGISTICS SERVICES PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_coal_logistics_services_pty_limited.2985ec8b6d9f620ccfb3edb514738074.html,,,
GLENCORE AUSTRALIA FINANCE PTY LTD,https://www.dnb.com/business-directory/company-profiles.glencore_australia_finance_pty_ltd.53bd1f7c3de7806457d39bb553bf230d.html,,,
GLENCORE AUSTRALIA FINANCE GP PTY LTD,https://www.dnb.com/business-directory/company-profiles.glencore_australia_finance_gp_pty_ltd.eb247fdc36950301b43c6fb5b5716110.html,,,
GLENCORE NEWPAC PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_newpac_pty_limited.751f5b6c4ecf4e39fe15cb64c84c886d.html,,,
GLENCORE OXYFUEL PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_oxyfuel_pty_limited.da7041aeb1ba86b17da7f3ac5a97ed82.html,,,
GLENCORE TECHNOLOGY PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.glencore_technology_pty_limited.71a98da3649e329826eab6c0623860fe.html,,,
METCASH LIMITED,https://www.dnb.com/business-directory/company-profiles.metcash_limited.70acaf03d00d500f4f8bda249d52431a.html,,,
ENDEAVOUR GROUP LIMITED,https://www.dnb.com/business-directory/company-profiles.endeavour_group_limited.36bdff08cd2bef33701f8a491a5890be.html,,,
APPLE PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.apple_pty_limited.1b1106bd70f6fd219ede98d370ae92ce.html,,,
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",https://www.dnb.com/business-directory/company-profiles.costco_wholesale_australia_pty_ltd.269ee8be010719f63be01d362a18762f.html,,,
SEABEST INTERNATIONAL PTY LTD,https://www.dnb.com/business-directory/company-profiles.seabest_international_pty_ltd.ea4ff5a742160192507a6ada815918af.html,,,
LAP FOODS PTY LTD,https://www.dnb.com/business-directory/company-profiles.lap_foods_pty_ltd.f50a65302f3d5ba2d63dd8179759affb.html,,,
PRIMO MEATS ADMIN PTY LTD,https://www.dnb.com/business-directory/company-profiles.primo_meats_admin_pty_ltd.021f595676877f5418947852b4187b6c.html,,,
AUSTRALIAN CONSOLIDATED FOOD INVESTMENTS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.australian_consolidated_food_investments_pty_limited.651673453efb81622474c66bcdaf1af8.html,,,
SGH LIMITED,https://www.dnb.com/business-directory/company-profiles.sgh_limited.59133b829ec02afa0a95ada71eeb7c9d.html,,,
AVON PRODUCTS PTY. LIMITED,https://www.dnb.com/business-directory/company-profiles.avon_products_pty_limited.29146e18f8925bfd8e71b0814583cca4.html,,,
PALLION GROUP PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.pallion_group_pty_limited.5396cd2e65cd4e2b4cca21759f85fd3c.html,,,
BULLIVANTS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.bullivants_pty_limited.a9a464ae235470b1347c02f843465f61.html,,,
MICROSOFT PTY LTD,https://www.dnb.com/business-directory/company-profiles.microsoft_pty_ltd.0d5824363cceb06c8075f1c271263086.html,,,
OAKY CREEK COAL PTY. LTD.,https://www.dnb.com/business-directory/company-profiles.oaky_creek_coal_pty_ltd.6f3e47bc3f0dea4bf7c8d1fccbf6417c.html,,,
SIMS LIMITED,https://www.dnb.com/business-directory/company-profiles.sims_limited.1996d70466f3a2d9066661e71e6a3d2d.html,,,
RESMED INC.,https://www.dnb.com/business-directory/company-profiles.resmed_inc.9cafe4f6adf3de06ee4a62e675fb02bd.html,,,
THE WORKWEAR GROUP HOLDING PTY LTD,https://www.dnb.com/business-directory/company-profiles.the_workwear_group_holding_pty_ltd.0ee68c05c3571996e215f329f852be65.html,,,
ARISTOCRAT LEISURE LIMITED,https://www.dnb.com/business-directory/company-profiles.aristocrat_leisure_limited.36adf61eebb809362a85a9c009138caa.html,,,
GRAINCORP LIMITED,https://www.dnb.com/business-directory/company-profiles.graincorp_limited.860622f8fb9915269b58b8cd8baabb4f.html,,,
CHEVRON AUSTRALIA DOWNSTREAM HOLDINGS PTY LTD,https://www.dnb.com/business-directory/company-profiles.chevron_australia_downstream_holdings_pty_ltd.b85c472b8710e87fb5291a04eef3f57f.html,,,
CCEP HOLDINGS (AUSTRALIA) PTY LTD,https://www.dnb.com/business-directory/company-profiles.ccep_holdings_(australia)_pty_ltd.37b56acb7b4f6c93c04d253768a5bb55.html,,,
INGHAM 2 PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.ingham_2_pty_limited.be75bd85a1c8f1a6acbfc4881ac5e438.html,,,
LIBERTY HOLDINGS AUSTRALIA PTY LTD,https://www.dnb.com/business-directory/company-profiles.liberty_holdings_australia_pty_ltd.2625e3ff7bfe4d29bd66c7804f596b98.html,,,
JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY,https://www.dnb.com/business-directory/company-profiles.james_hardie_industries_public_limited_company.c6355b29197d187d4af1b41feccb215e.html,,,
RIVALEA HOLDINGS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.rivalea_holdings_pty_limited.d86adefebfd2a443ec3df18dd998c859.html,,,
WESTMEAD MEDICAL SUPPLIES PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.westmead_medical_supplies_pty_limited.336a13e456f1730bac387aa242c297b3.html,,,
THE LSW GROUP PTY. LTD.,https://www.dnb.com/business-directory/company-profiles.the_lsw_group_pty_ltd.1bbdb4f50612c692590c3cb5fd6632a4.html,,,
LIBERTY INFRABUILD LTD,https://www.dnb.com/business-directory/company-profiles.liberty_infrabuild_ltd.9bc76b77d3d1db1eef7aa4d9464299f2.html,,,
